link,title,city,price,nb_rooms,nb_baths,type,address,liv_rooms,surface_area,prop_age,floor_nb,Ascenseur,Balcon,Chauffage,Climatisation,Concierge,Cuisine equipee,Duplex,Meuble,Parking,Securite,Terrasse,Date
https://www.avito.ma/fr/quartier_de_l'oc%C3%A9an/appartements/RBA_HA_1054___Appartement_%C3%A0_vendre_%C3%A0_L_Ocean_54936810.htm,RBA-HA-1054 - Appartement Ã  vendre Ã  L'Ocean,rabat,1200000.0,1,1,Vendre,quartier de l'ocÃ©an,0.0,0.0,0.0,5,True,True,False,False,False,False,False,False,True,False,True,2024-01-30
https://www.avito.ma/fr/guich_oudaya/appartements/RBA_SKH_TE_1053___Appartement_%C3%A0_vendre_%C3%A0_Guich_O____54932352.htm,RBA-SKH-TE-1053 - Appartement Ã  vendre Ã  Guich O...,rabat,1750000.0,3,2,Vendre,guich oudaya,3.0,3.0,3.0,2,False,True,False,False,False,False,False,False,False,False,True,2024-10-12
https://www.avito.ma/fr/hay_mohammadi/appartements/Appartement_%C3%A0_vendre_63_m%C2%B2_%C3%A0_Agadir_55682805.htm,Appartement Ã  vendre 63 mÂ² Ã  Agadir,agadir,600000.0,2,1,Vendre,hay mohammadi,1.0,60.0,2.0,3,False,False,False,False,False,False,False,False,False,False,False,2024-12-04
https://www.avito.ma/fr/dar_bouazza/appartements/Appartement_%C3%A0_vendre_81_m%C2%B2_%C3%A0_Dar_Bouazza_55714260.htm,Appartement Ã  vendre 81 mÂ² Ã  Dar Bouazza,dar bouazza,1350000.0,2,2,Vendre,toute la ville,1.0,81.0,2.0,1,False,False,False,False,False,False,False,False,False,False,False,2024-10-17
https://www.avito.ma/fr/gu%C3%A9liz/appartements/Appartement_81_m%C2%B2_avec_piscine_a_gueliz_33066805.htm,Appartement 81 mÂ² avec piscine a gueliz,marrakech,769500.0,2,1,Vendre,guÃ©liz,1.0,81.0,2.0,3,True,False,False,False,False,False,False,False,True,False,False,2024-03-16
https://www.avito.ma/fr/a%C3%AFn_diab/appartements/Appartement_%C3%A0_vendre_142_m%C2%B2_%C3%A0_Casablanca_50507466.htm,Appartement Ã  vendre 142 mÂ² Ã  Casablanca,casablanca,6000000.0,2,3,Vendre,aÃ¯n diab,2.0,2.0,2.0,8,True,True,True,True,True,False,False,False,True,False,True,2024-05-06
https://www.avito.ma/fr/centre_ville/appartements/Appartement_%C3%A0_vendre_82_m%C2%B2_%C3%A0_Temara_55690519.htm,Appartement Ã  vendre 82 mÂ² Ã  Temara,temara,660000.0,2,1,Vendre,centre ville,1.0,82.0,2.0,1,False,True,False,False,True,False,False,False,False,False,False,2024-10-02
https://www.avito.ma/fr/hay_salam/appartements/Appartement_%C3%A0_vendre_78_m%C2%B2_%C3%A0_Agadir_54949904.htm,Appartement Ã  vendre 78 mÂ² Ã  Agadir,agadir,570000.0,2,1,Vendre,hay salam,1.0,78.0,2.0,3,False,True,False,False,False,False,False,False,False,False,False,2024-02-05
https://www.avito.ma/fr/massira_1/appartements/Appartement_a_vendre__%C3%A0_Temara_54659150.htm,Appartement a vendre Ã  Temara,temara,1480000.0,3,1,Vendre,massira 1,1.0,148.0,3.0,1,False,True,False,False,False,False,False,False,True,False,False,2024-12-16
https://www.avito.ma/fr/2_mars/apparteEquipementEquipementEquipementEquipementEquipementments/Appartement_%C3%A0_vendre_111_m%C2%B2_%C3%A0_Casablanca_55218668.htm,Appartement Ã  vendre 111 mÂ² Ã  Casablanca,casablanca,1450000.0,2,2,Vendre,2 mars,2.0,2.0,2.0,3,True,True,False,False,True,False,False,False,True,False,False,2024-10-01
https://www.avito.ma/fr/dar_bouazza/appartements/Appartement_%C3%A0_vendre_100_m%C2%B2_%C3%A0_Dar_Bouazza_54833290.htm,Appartement Ã  vendre 100 mÂ² Ã  Dar Bouazza,dar bouazza,592550.3535385687,2,2,Vendre,toute la ville,1.0,100.0,2.0,1,False,False,False,False,False,False,False,False,False,False,False,2024-02-07
https://www.avito.ma/fr/autre_secteur/appartements/Appart_a_vendre_avec_garage__%C3%A0_Bouznika_52394624.htm,Appart a vendre avec garage Ã  Bouznika,bouznika,760000.0,4,1,Vendre,autre secteur,2.0,160.0,4.0,1,True,False,False,False,False,False,False,False,False,False,True,2024-04-18
https://www.avito.ma/fr/assam/appartements/Appartement_%C3%A0_vendre_67_m%C2%B2_%C3%A0_K%C3%A9nitra_48757649.htm,Appartement Ã  vendre 67 mÂ² Ã  KÃ©nitra,kenitra,390000.0,2,1,Vendre,assam,1.0,67.0,2.0,2,True,False,False,False,True,False,False,False,True,False,True,2024-07-12
https://www.avito.ma/fr/sidi_allal_el_bahraoui/appartements/Appartement_a_vendre_a_Menzeh_Sidi_Allal_Bahraoui_55728744.htm,Appartement a vendre a Menzeh Sidi Allal Bahraoui,sidi allal el bahraoui,708632.9253840467,2,1,Vendre,toute la ville,2.0,70.0,8.0,1,False,False,False,False,False,False,False,False,False,False,False,2024-10-17
https://www.avito.ma/fr/nassim/appartements/appartement_a_vendre__55628254.htm,appartement a vendre,mohammedia,380000.0,2,1,Vendre,nassim,1.0,60.0,2.0,4,False,False,False,False,False,False,False,False,False,False,False,2024-08-03
https://www.avito.ma/fr/gu%C3%A9liz/appartements/Appartement_59_m%C2%B2_avec_piscine_%C3%A0_gueliz_33163327.htm,Appartement 59 mÂ² avec piscine Ã  gueliz,marrakech,590000.0,1,1,Vendre,guÃ©liz,1.0,59.0,0.0,1,False,False,False,False,False,False,False,False,False,False,False,2024-08-19
https://www.avito.ma/fr/ahlane/appartements/Appartement_%C3%A0_vendre_69_m%C2%B2_%C3%A0_Tanger_55685518.htm,Appartement Ã  vendre 69 mÂ² Ã  Tanger,tanger,11500.0,2,1,Vendre,ahlane,2.0,2.0,2.0,1,False,False,False,False,False,False,False,False,False,False,False,2024-10-25
https://www.avito.ma/fr/autre_secteur/appartements/Appartement__90_m%C2%B2_mhamid_7_1etage__55124168.htm,Appartement 90 mÂ² mhamid 7 1etage,marrakech,630000.0,3,1,Vendre,autre secteur,2.0,90.0,3.0,1,False,False,False,True,False,False,False,False,False,False,True,2024-05-16
https://www.avito.ma/fr/branes_kdima/appartements/Superbe_appartement_meubl%C3%A9_pour_vente_54267789.htm,Superbe appartement meublÃ© pour vente,tanger,1400000.0,2,1,Vendre,branes kdima,2.0,2.0,2.0,5,False,False,False,False,False,False,False,False,False,False,False,2024-09-22
https://www.avito.ma/fr/ain_sebaa/appartements/Appartement_%C3%A0_vendre_78_m%C2%B2_%C3%A0_Casablanca_55175180.htm,Appartement Ã  vendre 78 mÂ² Ã  Casablanca,casablanca,950000.0,2,2,Vendre,ain sebaa,2.0,2.0,2.0,4,True,True,False,True,True,False,False,False,True,False,True,2024-09-10
https://www.avito.ma/fr/racine/appartements/Appartement_%C3%A0_vendre_147_m%C2%B2_REMIS_A_NEUF_%C3%A0_RACINE_55444564.htm,Appartement Ã  vendre 147 mÂ² REMIS A NEUF Ã  RACINE,casablanca,2900000.0,3,3,Vendre,racine,3.0,3.0,3.0,2,False,False,False,False,False,False,False,False,False,False,False,2024-08-09
https://www.avito.ma/fr/route_de_casablanca/appartements/Appartement_%C3%A0_vendre_247_m%C2%B2_%C3%A0_Marrakech_55714071.htm,Appartement Ã  vendre 247 mÂ² Ã  Marrakech,marrakech,2600000.0,3,2,Vendre,route de casablanca,2.0,247.0,3.0,0,False,False,True,True,True,False,True,False,True,False,True,2024-08-18
https://www.avito.ma/fr/roches_noires/appartements/appartement_2_fa%C3%A7ade_boulevard__53912758.htm,appartement 2 faÃ§ade boulevard,casablanca,940000.0,3,2,Vendre,roches noires,3.0,3.0,3.0,2,True,True,False,False,True,False,False,False,True,False,False,2024-11-04
https://www.avito.ma/fr/palmier/appartements/Appt_2_Ch_Salon__Clim__Garage_%C3%A0_Palmier_55694000.htm,"Appt 2 Ch Salon, Clim, Garage Ã  Palmier",casablanca,1550000.0,2,2,Vendre,palmier,2.0,2.0,2.0,4,True,True,False,True,True,False,False,False,True,False,False,2024-10-09
